Student;ID;SIS User ID;SIS Login ID;Section;Part 1: Multiple choice questions - January 2024 (Remotely Proctored) (473819);Part 2: Practice - January 2024 _ CORRECT VERSION(Remotely Proctored) (475074);Chaptertests Current Points (Zittijd januari en juni AJ 2023-2024);Chaptertests Final Points (Zittijd januari en juni AJ 2023-2024);Chaptertests Current Score (Zittijd januari en juni AJ 2023-2024);Chaptertests Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Chaptertests Final Score (Zittijd januari en juni AJ 2023-2024);Chaptertests Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Current Points (Zittijd januari en juni AJ 2023-2024);Opdrachten Final Points (Zittijd januari en juni AJ 2023-2024);Opdrachten Current Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Final Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Current Points (Zittijd januari en juni AJ 2023-2024);Opdrachten Final Points (Zittijd januari en juni AJ 2023-2024);Opdrachten Current Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Final Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Imported Assignments Current Points (Zittijd januari en juni AJ 2023-2024);Imported Assignments Final Points (Zittijd januari en juni AJ 2023-2024);Imported Assignments Current Score (Zittijd januari en juni AJ 2023-2024);Imported Assignments Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Imported Assignments Final Score (Zittijd januari en juni AJ 2023-2024);Imported Assignments Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Test Proctorio Current Points (Zittijd januari en juni AJ 2023-2024);Test Proctorio Final Points (Zittijd januari en juni AJ 2023-2024);Test Proctorio Current Score (Zittijd januari en juni AJ 2023-2024);Test Proctorio Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Test Proctorio Final Score (Zittijd januari en juni AJ 2023-2024);Test Proctorio Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Current Points (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Final Points (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Current Score (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Final Score (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Current Points (Zittijd januari en juni AJ 2023-2024);Final Points (Zittijd januari en juni AJ 2023-2024);Current Score (Zittijd januari en juni AJ 2023-2024);Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Final Score (Zittijd januari en juni AJ 2023-2024);Unposted Final Score (Zittijd januari en juni AJ 2023-2024)
LastName, FirstName 24;146;S_r00146;S_r00146@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF02 (Z62903);16.23;2.88;6.00;N/A;6.00;3.00;12.00;1.00;18.75;9.00;7.00;10.00;7.78;9.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 25;147;S_r00147;S_r00147@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);11.43;0.50;11.33;N/A;4.00;5.00;9.00;1.00;24.50;7.00;5.00;8.18;6.67;8.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 26;148;S_r00148;S_r00148@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);;;;N/A;;;;;;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 27;149;S_r00149;S_r00149@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF01 (Z62903);20.80;6.25;6.00;N/A;5.50;4.50;10.00;1.00;24.75;;4.00;4.55;4.44;8.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 28;150;S_r00150;S_r00150@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF03 (Z62903);12.73;1.00;4.00;N/A;4.50;10.00;14.00;1.00;25.50;;;9.09;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 29;151;S_r00151;S_r00151@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF06 (Z62903);11.43;1.25;3.00;N/A;6.00;2.00;10.00;1.00;18.75;2.00;6.00;5.45;6.67;4.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 30;152;S_r00152;S_r00152@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF05 (Z62903);12.93;1.50;3.33;N/A;4.00;2.50;9.00;1.00;13.25;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 31;153;S_r00153;S_r00153@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF04 (Z62903);18.23;0.50;3.00;N/A;3.00;3.00;13.00;1.00;20.25;10.00;6.00;5.45;8.89;6.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 32;154;S_r00154;S_r00154@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);18.66;3.13;;N/A;;4.00;;1.00;44.08;;;;;8.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 33;155;S_r00155;S_r00155@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF06 (Z62903);14.79;0.50;11.00;N/A;6.00;8.00;12.00;1.00;25.50;8.00;5.00;10.00;7.78;9.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 34;156;S_r00156;S_r00156@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF03 (Z62903);13.90;5.50;6.17;N/A;6.00;6.00;11.00;1.00;36.25;6.00;;4.55;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 35;157;S_r00157;S_r00157@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF04 (Z62903);20.87;10.00;8.00;N/A;6.00;10.00;10.00;1.00;36.25;7.00;4.00;6.36;6.67;8.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 36;158;S_r00158;S_r00158@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF02 (Z62903);1.63;;9.00;N/A;6.00;3.00;10.00;1.00;11.25;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 37;159;S_r00159;S_r00159@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF03 (Z62903);9.63;0.00;2.00;N/A;6.00;;5.00;1.00;12.50;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 38;160;S_r00160;S_r00160@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF02 (Z62903);13.97;3.33;11.00;N/A;6.00;12.00;15.00;1.00;29.00;10.00;8.00;10.00;10.00;9.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 39;161;S_r00161;S_r00161@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);27.00;6.25;8.33;N/A;5.50;6.50;;1.00;44.00;6.00;;9.09;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 40;162;S_r00162;S_r00162@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);5.63;1.00;;N/A;0.00;;9.00;1.00;10.00;;;3.64;2.22;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 41;163;S_r00163;S_r00163@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);10.73;1.75;;N/A;6.00;8.50;14.00;1.00;20.66;;;7.27;6.67;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 42;164;S_r00164;S_r00164@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);24.59;0.75;9.33;N/A;6.00;8.00;13.00;1.00;30.00;7.00;4.00;8.18;7.78;8.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 43;165;S_r00165;S_r00165@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF05 (Z62903);;;;N/A;;;;;;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 44;166;S_r00166;S_r00166@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF01 (Z62903);22.20;5.00;9.33;N/A;6.00;8.00;14.00;1.00;37.25;7.00;4.00;6.36;4.44;6.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 45;167;S_r00167;S_r00167@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF03 (Z62903);18.60;3.00;7.00;N/A;6.00;12.00;9.00;1.00;27.00;10.00;2.00;8.18;8.89;7.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 46;168;S_r00168;S_r00168@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF03 (Z62903);22.03;8.50;7.00;N/A;6.00;12.00;14.00;1.00;32.25;5.00;;8.18;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 47;169;S_r00169;S_r00169@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF03 (Z62903);15.57;4.00;5.00;N/A;6.00;6.00;11.00;1.00;32.75;5.00;;3.64;;9.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 48;170;S_r00170;S_r00170@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF06 (Z62903);9.30;0.25;6.50;N/A;5.00;4.50;10.00;1.00;9.16;3.00;1.00;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 49;171;S_r00171;S_r00171@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF06 (Z62903);10.80;3.25;12.00;N/A;6.00;10.50;;1.00;22.50;7.00;5.00;;3.33;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 50;172;S_r00172;S_r00172@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF01 (Z62903);21.17;4.25;9.67;N/A;5.50;7.00;13.00;1.00;29.75;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 51;173;S_r00173;S_r00173@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF04 (Z62903);22.33;8.75;10.67;N/A;6.00;10.00;;1.00;46.25;6.00;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 52;174;S_r00174;S_r00174@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF06 (Z62903);26.83;10.00;10.33;N/A;6.00;9.00;15.00;1.00;31.00;10.00;7.00;8.18;8.89;9.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 53;175;S_r00175;S_r00175@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF06 (Z62903);25.09;8.50;11.33;N/A;6.00;12.00;15.00;1.00;36.00;9.00;7.00;9.09;8.89;9.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 54;176;S_r00176;S_r00176@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF01 (Z62903);;;6.67;0.00;5.00;6.00;13.00;1.00;27.50;8.00;7.00;7.27;10.00;8.00;;;N/A;N/A;1.00;21.83;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 55;177;S_r00177;S_r00177@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF06 (Z62903);16.77;2.25;8.83;N/A;6.00;2.50;;1.00;30.00;1.00;2.00;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 56;178;S_r00178;S_r00178@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF06 (Z62903);14.53;0.00;5.00;N/A;4.50;3.00;12.00;;;6.00;2.00;;;;1.00;0.00;17.25;1.00;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 57;179;S_r00179;S_r00179@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF05 (Z62903);5.60;2.50;12.00;N/A;5.00;;13.00;1.00;20.25;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 58;180;S_r00180;S_r00180@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);25.53;9.00;12.00;N/A;6.00;11.00;14.00;1.00;48.50;9.00;7.00;9.09;5.56;8.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 59;181;S_r00181;S_r00181@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF01 (Z62903);18.20;6.50;;N/A;;7.00;;1.00;18.08;8.00;6.00;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 60;182;S_r00182;S_r00182@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF04 (Z62903);18.90;4.50;6.00;N/A;4.50;3.50;;1.00;23.25;7.00;4.00;4.55;4.44;5.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 61;183;S_r00183;S_r00183@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF04 (Z62903);17.20;3.00;7.17;N/A;4.50;7.00;;1.00;19.00;4.00;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 62;184;S_r00184;S_r00184@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF03 (Z62903);14.43;3.25;5.33;N/A;6.00;6.00;13.00;1.00;32.75;7.00;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 63;185;S_r00185;S_r00185@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF06 (Z62903);24.33;9.25;11.67;N/A;6.00;8.00;14.00;1.00;44.50;10.00;7.00;10.00;10.00;9.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 64;186;S_r00186;S_r00186@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF05 (Z62903);17.33;8.00;11.67;N/A;6.00;10.50;15.00;1.00;30.50;;;9.09;4.44;9.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 65;187;S_r00187;S_r00187@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF04 (Z62903);20.43;2.75;4.33;N/A;4.50;4.00;;1.00;21.00;6.00;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
